id,course,content
ode_1,常微分方程,"判别下列方程是否为恰当方程，并对恰当方程进行求解：
$(4x^{2}y - y)\mathrm{d}x + (3x + y)\mathrm{d}y = 0$."
ode_2,常微分方程,"判别下列方程是否为恰当方程，并对恰当方程进行求解：
$(x + 2y)\mathrm{d}x + (2x - y)\mathrm{d}y = 0$."
ode_3,常微分方程,"判别下列方程是否为恰当方程，并对恰当方程进行求解：
$(a x - b y)\mathrm{d}x + (b x - c y)\mathrm{d}y = 0$ \quad ($a,b,c$为常数)."
ode_4,常微分方程,"判别下列方程是否为恰当方程，并对恰当方程进行求解：
$x^{2}y(y\mathrm{d}x + x\mathrm{d}y) - (2y\mathrm{d}x + x\mathrm{d}y) = 0$."
ode_5,常微分方程,"判别下列方程是否为恰当方程，并对恰当方程进行求解：
$3x^{2}(1 + \ln y)\mathrm{d}x - \left(2y - \frac{x^{3}}{y}\right)\mathrm{d}y = 0$."
ode_6,常微分方程,"判别下列方程是否为恰当方程，并对恰当方程进行求解：
$(2 - 9xy^{2})x\mathrm{d}x + (4y^{2} - 6x^{3})y\mathrm{d}y = 0$."
ode_7,常微分方程,"判别下列方程是否为恰当方程，并对恰当方程进行求解：
$2x(1 + \sqrt{x^{2} - y})\mathrm{d}x - \sqrt{x^{2} - y}\mathrm{d}y = 0$."
ode_8,常微分方程,"判别下列方程是否为恰当方程，并对恰当方程进行求解：
$\mathrm{e}^{-y}\mathrm{d}x - (2y + x\mathrm{e}^{-y})\mathrm{d}y = 0$."
ode_9,常微分方程,"判别下列方程是否为恰当方程，并对恰当方程进行求解：
$\frac{y}{x}\mathrm{d}x + (y^{3} + \ln x)\mathrm{d}y = 0$."
ode_10,常微分方程,"求下列微分方程满足所给条件的特解：
    \begin{enumerate}
        \item $x y\mathrm{d}x + (x + 1)\mathrm{d}y = 0,\ y(1) = 2$;
        \item $(x^{2} - 1)y^{\prime} + 2x y^{2} = 0,\ y(0) = 1$;
        \item $x y^{\prime} + y = y^{2},\ y(1) = \frac{1}{2}$;
        \item $y^{\prime} = \sqrt{4x + 2y - 1},\ y(0) = 1$;
        \item $(x + 2y)y^{\prime} = 1,\ y(0) = -1$;
        \item $x^{2}y^{\prime} - \cos 2y = 1,\ y(+\infty) = \frac{9\pi}{4}$;
        \item $3y^{2}y^{\prime} + 16x = 2xy^{3}$，当 $x \rightarrow +\infty$ 时，$y(x)$ 有界.
    \end{enumerate}"
ode_11,常微分方程,"求解下列微分方程，并作出积分曲线的草图：
    \begin{enumerate}
        \item $y^{\prime} = a y$，其中 $a$ 是不为零的常数；
        \item $y^{\prime} = y^{a}$，其中 $a = \frac{1}{5},1,2$.
    \end{enumerate}"
ode_12,常微分方程,"设有微分方程 $y^{\prime} = f(y)$，其中 $f(y)$ 在 $y = a$ 的某个邻域内连续，且 $f(y) = 0$ 当且仅当 $y = a$。证明：对于直线 $y = a$ 上任一点 $(x_{0},a)$，该方程满足条件 $y(x_{0}) = a$ 的解存在且唯一的充要条件为
    \[
    \left|\int_{a}^{a\pm \epsilon}\frac{1}{f(y)}\mathrm{d}y\right| = +\infty,
    \]
    其中 $\epsilon$ 为任意正数。"
ode_13,常微分方程,"称函数 $f(x,y)$ 是 $d$ 次拟齐次函数，如果
    \[
    f(t^{\alpha s}x,t^{\beta s}y) = t^{d s}f(x,y),
    \]
    其中 $t > 0,\alpha$ 和 $\beta$ 为正常数，且 $\alpha +\beta = 1,s\in \mathbb{R}$。这时 $\alpha$ 和 $\beta$ 分别称为 $x$ 和 $y$ 的权。考虑微分方程
    \[
    P(x,y)\mathrm{d}x + Q(x,y)\mathrm{d}y = 0,
    \]
    其中 $P(x,y)$ 和 $Q(x,y)$ 分别是 $d_{0}$ 次和 $d_{1}$ 次拟齐次函数，$x$ 和 $y$ 的权分别是 $\alpha$ 和 $\beta$。证明：当
    \[
    d_{0} = d_{1} + \beta -\alpha
    \]
    时，该方程可以用初等积分法求解。"
ode_14,常微分方程,"证明：方程
    \[
    y^{\prime} = \sqrt[3]{\frac{y^{2} + 1}{x^{4} + 1}}
    \]
    的每一条积分曲线都有两条水平渐近线。"
ode_15,常微分方程,"设函数 $f(x)$ 在区间 $[1, + \infty)$ 上连续，且为正的。证明：如果
    \[
    \int_{1}^{x}f(t)\mathrm{d}t\leqslant (f(x))^{3},
    \]
    则
    \[
    f(x)\geqslant \sqrt{\frac{2}{3} (x - 1)}.
    \]"
ode_16,常微分方程,"求解下列微分方程：
    \begin{enumerate}
        \item $x y^{\prime} - 2y = 2x^{4}$;
        \item $(2x + 1)y^{\prime} = 4x + 2y$;
        \item $(x y + \mathrm{e}^{x})\mathrm{d}x - x\mathrm{d}y = 0$;
        \item $2x(x^{2} + y)\mathrm{d}x = \mathrm{d}y$;
        \item $(1 - 2x y)y^{\prime} = y(y - 1)$.
    \end{enumerate}"
ode_17,常微分方程,"求出微分方程
    \[
    y^{\prime}\sin 2x = 2(y + \cos x)
    \]
    的当 $x \to \frac{\pi}{2}$ 时仍有界的解。"
ode_18,常微分方程,设在微分方程 $xy' + ay = f(x)$ 中，常数 $a > 0$，$\lim_{x \to 0} f(x) = b$。证明：当 $x \to 0$ 时，该方程只有一个有界的解；并求出这个解当 $x \to 0$ 时的极限。
ode_19,常微分方程,求出微分方程 $y' = 2y \cos^2 x - \sin x$ 的周期解。
ode_20,常微分方程,"假设连续函数 $f(t)$ 满足 $|f(t)| \le M, t \in \mathbb{R}$。证明：微分方程
    \[
    \frac{\mathrm{d}x}{\mathrm{d}t} +x = f(t)
    \]
    在 $- \infty < t < +\infty$ 上只有一个有界解；进一步，如果 $f(t)$ 是周期函数，那么这个有界解也是周期的。"
ode_21,常微分方程,证明：微分方程 $xy' - (2x^2 + 1)y = x^2$ 只有一个解，满足当 $x \to +\infty$ 时有极限；求出这个极限，并用积分表示这个解。
ode_22,常微分方程,"证明：若在 $(- \infty , +\infty)$ 上连续可微且有界的函数 $f(x)$ 满足
    \[
    |f(x) + f'(x)| \le 1,
    \]
    则 $|f(x)| \le 1$。"
